═══════════════════════════════════════════════════════════
🎬 ZOOM RECORDING LOG
═══════════════════════════════════════════════════════════

--- DEVICE INFO ---
Screen: 384 x 749 dp
DPR: 2.81

--- TIMELINE INFO ---
Memories: 6
Content Width: 800 px

--- RECORDING (2133 snapshots) ---

1760285116687 | 175% | scale:0.80 | painterZoom:1.75 | LVL1-Yearly→LVL2-Monthly | Single:9.6-24.0px | Cluster:8.3-20.8px | Years:2
1760285116687 | 175% | scale:0.80 | painterZoom:1.75 | LVL1-Yearly→LVL2-Monthly | Single:9.6-24.0px | Cluster:8.3-20.8px | Years:2
1760285116687 | 175% | scale:0.80 | painterZoom:1.75 | LVL1-Yearly→LVL2-Monthly | Single:9.6-24.0px | Cluster:8.3-20.8px | Years:2
1760285116687 | 175% | scale:0.80 | painterZoom:1.75 | LVL1-Yearly→LVL2-Monthly | Single:9.6-24.0px | Cluster:8.3-20.8px | Years:2
1760285116696 | 178% | scale:0.81 | painterZoom:1.78 | LVL1-Yearly→LVL2-Monthly | Single:9.7-24.4px | Cluster:8.4-21.1px | Years:2
1760285116696 | 178% | scale:0.81 | painterZoom:1.78 | LVL1-Yearly→LVL2-Monthly | Single:9.7-24.4px | Cluster:8.4-21.1px | Years:2
1760285116696 | 178% | scale:0.81 | painterZoom:1.78 | LVL1-Yearly→LVL2-Monthly | Single:9.8-24.4px | Cluster:8.5-21.1px | Years:2
1760285116696 | 178% | scale:0.81 | painterZoom:1.78 | LVL1-Yearly→LVL2-Monthly | Single:9.8-24.4px | Cluster:8.5-21.1px | Years:2
1760285116704 | 181% | scale:0.82 | painterZoom:1.81 | LVL1-Yearly→LVL2-Monthly | Single:9.9-24.7px | Cluster:8.6-21.4px | Years:2
1760285116704 | 181% | scale:0.82 | painterZoom:1.81 | LVL1-Yearly→LVL2-Monthly | Single:9.9-24.7px | Cluster:8.6-21.4px | Years:2
1760285116704 | 181% | scale:0.83 | painterZoom:1.81 | LVL1-Yearly→LVL2-Monthly | Single:9.9-24.8px | Cluster:8.6-21.5px | Years:2
1760285116704 | 181% | scale:0.83 | painterZoom:1.81 | LVL1-Yearly→LVL2-Monthly | Single:9.9-24.8px | Cluster:8.6-21.5px | Years:2
1760285116712 | 184% | scale:0.84 | painterZoom:1.84 | LVL1-Yearly→LVL2-Monthly | Single:10.0-25.1px | Cluster:8.7-21.8px | Years:2
1760285116712 | 184% | scale:0.84 | painterZoom:1.84 | LVL1-Yearly→LVL2-Monthly | Single:10.0-25.1px | Cluster:8.7-21.8px | Years:2
1760285116712 | 184% | scale:0.84 | painterZoom:1.84 | LVL1-Yearly→LVL2-Monthly | Single:10.1-25.1px | Cluster:8.7-21.8px | Years:2
1760285116712 | 184% | scale:0.84 | painterZoom:1.84 | LVL1-Yearly→LVL2-Monthly | Single:10.1-25.1px | Cluster:8.7-21.8px | Years:2
1760285116720 | 186% | scale:0.85 | painterZoom:1.86 | LVL1-Yearly→LVL2-Monthly | Single:10.2-25.4px | Cluster:8.8-22.0px | Years:2
1760285116720 | 186% | scale:0.85 | painterZoom:1.86 | LVL1-Yearly→LVL2-Monthly | Single:10.2-25.4px | Cluster:8.8-22.0px | Years:2
1760285116720 | 186% | scale:0.85 | painterZoom:1.86 | LVL1-Yearly→LVL2-Monthly | Single:10.2-25.4px | Cluster:8.8-22.1px | Years:2
1760285116720 | 186% | scale:0.85 | painterZoom:1.86 | LVL1-Yearly→LVL2-Monthly | Single:10.2-25.4px | Cluster:8.8-22.1px | Years:2
1760285116729 | 188% | scale:0.86 | painterZoom:1.88 | LVL1-Yearly→LVL2-Monthly | Single:10.3-25.7px | Cluster:8.9-22.3px | Years:2
1760285116729 | 188% | scale:0.86 | painterZoom:1.88 | LVL1-Yearly→LVL2-Monthly | Single:10.3-25.7px | Cluster:8.9-22.3px | Years:2
1760285116729 | 188% | scale:0.86 | painterZoom:1.88 | LVL1-Yearly→LVL2-Monthly | Single:10.3-25.8px | Cluster:8.9-22.3px | Years:2
1760285116729 | 188% | scale:0.86 | painterZoom:1.88 | LVL1-Yearly→LVL2-Monthly | Single:10.3-25.8px | Cluster:8.9-22.3px | Years:2
1760285116743 | 190% | scale:0.87 | painterZoom:1.90 | LVL1-Yearly→LVL2-Monthly | Single:10.4-26.0px | Cluster:9.0-22.5px | Years:2
1760285116743 | 190% | scale:0.87 | painterZoom:1.90 | LVL1-Yearly→LVL2-Monthly | Single:10.4-26.0px | Cluster:9.0-22.5px | Years:2
1760285116743 | 190% | scale:0.87 | painterZoom:1.90 | LVL1-Yearly→LVL2-Monthly | Single:10.4-26.0px | Cluster:9.0-22.5px | Years:2
1760285116743 | 190% | scale:0.87 | painterZoom:1.90 | LVL1-Yearly→LVL2-Monthly | Single:10.4-26.0px | Cluster:9.0-22.5px | Years:2
1760285116745 | 192% | scale:0.87 | painterZoom:1.92 | LVL1-Yearly→LVL2-Monthly | Single:10.5-26.2px | Cluster:9.1-22.7px | Years:2
1760285116745 | 192% | scale:0.87 | painterZoom:1.92 | LVL1-Yearly→LVL2-Monthly | Single:10.5-26.2px | Cluster:9.1-22.7px | Years:2
1760285116746 | 192% | scale:0.88 | painterZoom:1.92 | LVL1-Yearly→LVL2-Monthly | Single:10.5-26.3px | Cluster:9.1-22.8px | Years:2
1760285116746 | 192% | scale:0.88 | painterZoom:1.92 | LVL1-Yearly→LVL2-Monthly | Single:10.5-26.3px | Cluster:9.1-22.8px | Years:2
1760285116754 | 193% | scale:0.88 | painterZoom:1.93 | LVL1-Yearly→LVL2-Monthly | Single:10.6-26.5px | Cluster:9.2-22.9px | Years:2
1760285116754 | 193% | scale:0.88 | painterZoom:1.93 | LVL1-Yearly→LVL2-Monthly | Single:10.6-26.5px | Cluster:9.2-22.9px | Years:2
1760285116754 | 194% | scale:0.88 | painterZoom:1.94 | LVL1-Yearly→LVL2-Monthly | Single:10.6-26.5px | Cluster:9.2-23.0px | Years:2
1760285116754 | 194% | scale:0.88 | painterZoom:1.94 | LVL1-Yearly→LVL2-Monthly | Single:10.6-26.5px | Cluster:9.2-23.0px | Years:2
1760285116762 | 195% | scale:0.89 | painterZoom:1.95 | LVL1-Yearly→LVL2-Monthly | Single:10.7-26.7px | Cluster:9.3-23.1px | Years:2
1760285116762 | 195% | scale:0.89 | painterZoom:1.95 | LVL1-Yearly→LVL2-Monthly | Single:10.7-26.7px | Cluster:9.3-23.1px | Years:2
1760285116762 | 196% | scale:0.89 | painterZoom:1.96 | LVL1-Yearly→LVL2-Monthly | Single:10.7-26.8px | Cluster:9.3-23.2px | Years:2
1760285116762 | 196% | scale:0.89 | painterZoom:1.96 | LVL1-Yearly→LVL2-Monthly | Single:10.7-26.8px | Cluster:9.3-23.2px | Years:2
1760285116770 | 197% | scale:0.90 | painterZoom:1.97 | LVL1-Yearly→LVL2-Monthly | Single:10.8-26.9px | Cluster:9.3-23.3px | Years:2
1760285116770 | 197% | scale:0.90 | painterZoom:1.97 | LVL1-Yearly→LVL2-Monthly | Single:10.8-26.9px | Cluster:9.3-23.3px | Years:2
1760285116770 | 197% | scale:0.90 | painterZoom:1.97 | LVL1-Yearly→LVL2-Monthly | Single:10.8-27.0px | Cluster:9.4-23.4px | Years:2
1760285116770 | 197% | scale:0.90 | painterZoom:1.97 | LVL1-Yearly→LVL2-Monthly | Single:10.8-27.0px | Cluster:9.4-23.4px | Years:2
1760285116779 | 198% | scale:0.90 | painterZoom:1.98 | LVL1-Yearly→LVL2-Monthly | Single:10.8-27.1px | Cluster:9.4-23.5px | Years:2
1760285116779 | 198% | scale:0.90 | painterZoom:1.98 | LVL1-Yearly→LVL2-Monthly | Single:10.8-27.1px | Cluster:9.4-23.5px | Years:2
1760285116779 | 199% | scale:0.91 | painterZoom:1.99 | LVL1-Yearly→LVL2-Monthly | Single:10.9-27.2px | Cluster:9.4-23.5px | Years:2
1760285116779 | 199% | scale:0.91 | painterZoom:1.99 | LVL1-Yearly→LVL2-Monthly | Single:10.9-27.2px | Cluster:9.4-23.5px | Years:2
1760285116787 | 200% | scale:0.91 | painterZoom:2.00 | LVL1-Yearly→LVL2-Monthly | Single:10.9-27.3px | Cluster:9.5-23.7px | Years:2
1760285116787 | 200% | scale:0.91 | painterZoom:2.00 | LVL1-Yearly→LVL2-Monthly | Single:10.9-27.3px | Cluster:9.5-23.7px | Years:2
1760285116787 | 200% | scale:0.91 | painterZoom:2.00 | LVL1-Yearly→LVL2-Monthly | Single:10.9-27.4px | Cluster:9.5-23.7px | Years:2
1760285116787 | 200% | scale:0.91 | painterZoom:2.00 | LVL1-Yearly→LVL2-Monthly | Single:10.9-27.4px | Cluster:9.5-23.7px | Years:2
1760285116795 | 201% | scale:0.92 | painterZoom:2.01 | LVL1-Yearly→LVL2-Monthly | Single:11.0-27.6px | Cluster:9.6-23.9px | Years:2
1760285116795 | 201% | scale:0.92 | painterZoom:2.01 | LVL1-Yearly→LVL2-Monthly | Single:11.0-27.6px | Cluster:9.6-23.9px | Years:2
1760285116795 | 202% | scale:0.92 | painterZoom:2.02 | LVL1-Yearly→LVL2-Monthly | Single:11.0-27.6px | Cluster:9.6-23.9px | Years:2
1760285116795 | 202% | scale:0.92 | painterZoom:2.02 | LVL1-Yearly→LVL2-Monthly | Single:11.0-27.6px | Cluster:9.6-23.9px | Years:2
1760285116804 | 203% | scale:0.93 | painterZoom:2.03 | LVL1-Yearly→LVL2-Monthly | Single:11.1-27.8px | Cluster:9.6-24.1px | Years:2
1760285116804 | 203% | scale:0.93 | painterZoom:2.03 | LVL1-Yearly→LVL2-Monthly | Single:11.1-27.8px | Cluster:9.6-24.1px | Years:2
1760285116804 | 203% | scale:0.93 | painterZoom:2.03 | LVL1-Yearly→LVL2-Monthly | Single:11.1-27.8px | Cluster:9.6-24.1px | Years:2
1760285116804 | 203% | scale:0.93 | painterZoom:2.03 | LVL1-Yearly→LVL2-Monthly | Single:11.1-27.8px | Cluster:9.6-24.1px | Years:2
1760285116817 | 205% | scale:0.93 | painterZoom:2.05 | LVL1-Yearly→LVL2-Monthly | Single:11.2-28.0px | Cluster:9.7-24.3px | Years:2
1760285116817 | 205% | scale:0.93 | painterZoom:2.05 | LVL1-Yearly→LVL2-Monthly | Single:11.2-28.0px | Cluster:9.7-24.3px | Years:2
1760285116817 | 205% | scale:0.93 | painterZoom:2.05 | LVL1-Yearly→LVL2-Monthly | Single:11.2-28.0px | Cluster:9.7-24.3px | Years:2
1760285116817 | 205% | scale:0.93 | painterZoom:2.05 | LVL1-Yearly→LVL2-Monthly | Single:11.2-28.0px | Cluster:9.7-24.3px | Years:2
1760285116821 | 207% | scale:0.94 | painterZoom:2.07 | LVL1-Yearly→LVL2-Monthly | Single:11.3-28.2px | Cluster:9.8-24.5px | Years:2
1760285116821 | 207% | scale:0.94 | painterZoom:2.07 | LVL1-Yearly→LVL2-Monthly | Single:11.3-28.2px | Cluster:9.8-24.5px | Years:2
1760285116821 | 207% | scale:0.94 | painterZoom:2.07 | LVL1-Yearly→LVL2-Monthly | Single:11.3-28.3px | Cluster:9.8-24.5px | Years:2
1760285116821 | 207% | scale:0.94 | painterZoom:2.07 | LVL1-Yearly→LVL2-Monthly | Single:11.3-28.3px | Cluster:9.8-24.5px | Years:2
1760285116829 | 209% | scale:0.95 | painterZoom:2.09 | LVL1-Yearly→LVL2-Monthly | Single:11.4-28.5px | Cluster:9.9-24.7px | Years:2
